name;season;region;nbGames;winRate;KD;GPM;GDM;gameDuration;killsPerGame;deathsPerGame;towersKilled;towersLost;FB;FT;drapG;DRA;HERPG;HER;DRA15;TD15;GD15;PPG;NASHPG;NASH;CSM;DPM;WPM;VWPM;WCPM
Afreeca Freecs;S6;KR;102;47.1%;0.92;1789;-2;36:57:00;10.9;11.8;6.1;6.5;53.9;50.0;1.89;46.1;0.62;61.5;0.61;0.1;188;-;0.70;47.4;30.7;1963;3.3;0.70;1.48
ahq eSports;S6;TW;23;60.9%;1.22;1858;145;38:50:00;13.1;10.7;7.4;4.7;56.5;56.5;2.13;57.8;0.35;60.0;0.52;0.4;869;-;0.91;65.2;31.3;2118;3.9;0.80;1.54
Albus NoX Luna;S6;WC;22;54.5%;0.94;1772;-3;36:49:00;12.5;13.2;6.2;5.6;50.0;45.5;1.91;55.2;0.36;66.7;0.55;-0.1;-519;-;0.77;59.0;29.4;2235;3.1;0.51;1.16
Apex Gaming;S6;NA;53;47.2%;0.97;1762;-15;37:20:00;12.3;12.6;6.6;6.9;49.1;52.8;2.00;45.3;0.51;54.2;0.64;0.0;-108;-;0.79;45.8;29.0;1952;3.3;0.68;1.20
Chiefs eSports Club;S6;WC;9;33.3%;0.74;1783;-109;38:10:00;14.3;19.3;5.3;6.9;22.2;55.6;2.00;55.4;0.00;0.0;0.44;-0.4;-889;-;0.89;42.6;30.0;2373;3.5;0.86;1.36
CJ Entus;S6;KR;97;34.0%;0.81;1708;-132;40:03:00;9.5;11.7;5.5;7.8;39.2;48.5;1.82;40.5;0.40;38.3;0.40;-0.2;-752;-;0.76;39.9;30.0;1830;3.6;0.71;1.54
CLG;S6;NA;113;55.8%;1.00;1779;17;35:22:00;12.6;12.6;6.7;6.2;50.4;57.5;1.94;54.4;0.48;54.9;0.59;0.4;335;-;0.64;51.7;29.1;2034;3.3;0.65;1.41
Cloud 9;S6;NA;98;59.2%;1.28;1810;85;36:15:00;14.0;10.9;6.9;5.9;54.1;51.0;1.97;53.8;0.23;37.5;0.50;0.0;730;-;0.84;61.3;29.7;2050;3.2;0.64;1.31
Cloud9 Challenger;S6;NA;3;100.0%;2.19;1964;358;34:11:00;22.7;10.3;10.0;2.3;66.7;66.7;2.33;75.0;0.00;-;0.00;0.7;86;-;1.00;66.7;28.0;2704;2.9;0.63;1.61
Copenhagen Wolves;S6;EUW;5;40.0%;1.12;1731;-88;33:42:00;9.6;8.6;5.8;6.8;40.0;60.0;1.40;39.0;1.40;46.7;0.40;0.2;-496;-;0.60;50.0;29.2;1777;3.8;0.75;1.61
Dark Passage;S6;WC;12;58.3%;0.96;1882;127;35:29:00;14.9;15.6;7.2;5.2;50.0;66.7;1.75;56.1;0.25;37.5;0.58;0.3;364;-;0.67;52.8;31.8;2245;3.2;0.69;1.29
Dignitas;S6;NA;24;20.8%;0.75;1686;-196;36:38:00;10.0;13.3;5.3;8.4;54.2;58.3;1.33;32.7;0.54;51.7;0.17;0.1;-363;-;0.58;32.6;28.8;1768;3.2;0.58;1.38
Echo Fox;S6;NA;70;28.6%;0.68;1660;-167;36:43:00;8.3;12.3;5.6;8.0;37.1;45.7;1.66;39.0;0.46;46.5;0.64;-0.6;-1206;-;0.43;35.4;28.7;1731;3.2;0.74;1.39
Edward Gaming;S6;CN;98;73.5%;1.42;1890;184;35:52:00;16.4;11.5;7.7;4.6;4.1;4.1;2.43;63.5;0.02;66.7;0.36;-0.3;-903;-;0.07;45.5;29.9;1831;3.6;0.84;1.52
Elements;S6;EUW;18;33.3%;0.72;1682;-147;36:23:00;8.9;12.3;5.4;7.7;50.0;38.9;2.17;56.0;0.89;51.2;0.61;-0.2;-652;-;0.61;53.1;29.4;1768;3.5;0.63;1.47
Energy Pacemaker;S6;CN;39;35.9%;0.92;1749;-87;34:44:00;12.2;13.2;5.4;6.7;-;-;1.54;44.8;-;-;-;-;-;-;-;-;29.6;-;-;-;-
EnVyUs;S6;NA;52;40.4%;0.81;1754;-54;37:24:00;11.4;14.1;6.2;7.5;36.5;46.2;1.90;45.6;0.35;52.9;0.63;-0.2;-416;-;0.71;47.8;29.3;2065;3.1;0.64;1.24
ESC Ever;S6;KR;70;44.3%;0.84;1733;-78;38:57:00;9.4;11.2;5.6;6.8;48.6;60.0;1.89;45.3;0.19;25.5;0.50;-0.2;-464;-;0.63;39.8;30.7;1828;3.5;0.76;1.56
FC Schalke 04;S6;EUW;45;37.8%;0.89;1715;-118;35:51:00;10.2;11.5;5.5;7.4;42.2;60.0;1.40;35.8;0.11;14.3;0.44;0.0;-461;-;0.62;40.9;30.0;1931;3.2;0.65;1.28
Flash Wolves;S6;TW;41;61.0%;1.39;1800;58;39:19:00;13.2;9.5;7.1;5.6;61.0;68.3;2.41;58.6;0.34;40.6;0.37;0.5;866;-;0.85;55.4;30.4;1976;3.8;0.89;1.52
Fnatic;S6;EUW;90;47.8%;1.01;1797;15;35:45:00;11.4;11.3;6.3;6.6;42.2;54.4;1.91;49.3;0.59;52.2;0.52;-0.1;96;-;0.68;48.2;31.0;1873;3.5;0.65;1.42
G2 Esports;S6;EUW;86;67.4%;1.25;1876;150;34:59:00;13.5;10.8;7.8;5.3;41.9;59.3;2.00;59.8;0.64;61.6;0.60;0.4;889;-;0.86;64.1;30.5;2132;3.6;0.67;1.28
Game Talents;S6;CN;40;40.0%;0.83;1736;-124;36:10:00;13.0;15.7;5.4;7.2;-;-;1.68;43.0;-;-;-;-;-;-;-;-;28.6;-;-;-;-
Giants Gaming;S6;EUW;75;41.3%;0.81;1737;-86;34:11:00;10.1;12.5;5.8;7.1;46.7;40.0;1.56;44.5;0.59;55.6;0.55;-0.4;-713;-;0.68;47.9;29.7;1904;3.5;0.66;1.26
H2k-Gaming;S6;EUW;96;60.4%;1.28;1796;67;35:56:00;11.9;9.3;7.1;5.7;62.5;64.6;2.00;56.1;0.44;56.0;0.53;0.6;902;-;0.70;51.7;30.1;2000;3.7;0.77;1.46
Hard Random;S6;WC;7;57.1%;1.07;1808;23;31:39:00;12.6;11.6;6.7;5.9;71.4;57.1;1.14;31.2;1.43;78.6;0.43;0.1;474;-;0.43;40.0;29.1;1980;3.3;0.57;1.18
Hong Kong Esports;S6;TW;6;0.0%;0.43;1582;-422;36:23:00;8.3;19.5;1.7;9.8;33.3;-;0.83;23.3;0.00;0.0;0.33;-1.0;-2580;-;0.00;0.0;29.8;2169;3.8;0.77;1.35
Huma;S6;EUW;8;25.0%;0.63;1666;-273;32:55:00;8.9;14.0;3.9;8.4;75.0;25.0;0.75;21.9;0.50;43.8;0.25;-0.9;-1626;-;0.38;18.8;28.9;1870;3.3;0.59;1.39
HY Gaming;S6;CN;33;9.1%;0.51;1634;-342;33:02:00;8.8;17.1;3.2;8.5;-;-;1.48;39.4;-;-;-;-;-;-;-;-;28.7;-;-;-;-
I MAY;S6;CN;63;57.1%;1.07;1813;31;37:21:00;13.7;12.8;6.6;6.0;3.2;-;1.84;49.8;0.00;0.0;0.33;-1.5;-3221;-;0.08;45.8;29.6;1996;3.6;0.82;1.67
Immortals;S6;NA;81;72.8%;1.24;1923;238;33:41:00;15.0;12.0;8.1;4.6;48.1;71.6;1.88;61.9;0.53;68.9;0.56;0.8;1250;-;0.74;70.3;30.0;2330;3.6;0.62;1.24
INTZ eSports;S6;WC;23;39.1%;0.82;1671;-163;35:00:00;10.6;13.0;4.7;7.0;34.8;43.5;1.52;42.9;0.35;62.5;0.35;-0.4;-689;-;0.52;36.4;28.9;1900;3.4;0.84;1.23
Invictus Gaming;S6;CN;84;42.9%;0.99;1782;-27;34:56:00;12.8;13.1;5.7;6.5;-;-;1.56;44.3;-;-;-;-;-;-;-;-;29.7;-;-;-;-
J Team;S6;TW;8;25.0%;0.68;1679;-146;43:28:00;8.3;12.1;4.0;8.4;37.5;12.5;0.88;23.3;0.00;0.0;0.38;-0.6;-1930;-;0.75;45.2;31.7;2066;3.8;0.82;1.56
Jin Air Green Wings;S6;KR;98;48.0%;1.01;1730;-59;41:45:00;9.7;9.6;6.1;6.9;45.9;53.1;2.21;47.8;0.42;47.2;0.55;0.0;10;-;0.77;44.0;30.5;1839;3.7;0.87;1.66
Kaos Latin Gamers;S6;WC;7;14.3%;0.53;1642;-345;38:26:00;11.1;20.9;2.7;10.1;57.1;14.3;1.29;29.8;0.00;0.0;0.57;-0.1;-1042;-;0.14;7.1;29.8;2255;3.7;0.84;1.12
Kongdoo Monster;S6;KR;53;26.4%;0.65;1682;-184;39:28:00;8.2;12.7;4.7;7.7;43.4;50.9;2.15;47.0;0.49;35.6;0.49;-0.1;-611;-;0.51;33.0;30.3;1819;3.6;0.73;1.55
KT Rolster;S6;KR;108;63.0%;1.27;1821;78;38:32:00;13.4;10.5;6.9;5.4;57.4;55.6;2.20;55.1;0.65;62.2;0.47;0.1;305;-;0.69;53.2;30.7;2058;3.6;0.82;1.67
LGD Gaming;S6;CN;77;48.1%;0.88;1782;-33;35:57:00;12.8;14.5;5.9;6.2;-;-;1.70;45.6;-;-;-;-;-;-;-;-;30.1;-;-;-;-
Liquid A;S6;NA;5;40.0%;1.10;1725;-49;34:27:00;11.0;10.0;5.8;7.4;60.0;20.0;1.40;43.3;0.20;33.3;0.40;-0.4;-323;-;0.40;50.0;28.4;2147;3.5;0.58;1.00
Longzhu Gaming;S6;KR;88;44.3%;1.00;1781;15;39:30:00;10.1;10.1;6.6;6.5;56.8;44.3;2.06;48.9;0.55;54.1;0.48;0.2;412;-;0.81;53.1;30.8;1968;3.7;0.83;1.61
Lyon Gaming;S6;WC;12;66.7%;1.66;1853;155;36:57:00;14.1;8.5;7.2;4.7;50.0;66.7;2.25;63.8;0.33;66.7;0.42;0.2;1278;-;0.83;68.2;31.8;2010;3.6;0.85;1.38
Machi eSports;S6;TW;16;37.5%;0.62;1693;-100;38:43:00;7.4;11.9;5.1;6.4;25.0;56.3;1.56;44.5;0.56;64.6;0.44;-0.1;-489;-;0.44;34.7;30.7;1769;3.8;0.84;1.68
Master3;S6;CN;36;25.0%;0.59;1657;-250;35:16:00;8.8;15.0;3.9;7.8;-;-;1.53;37.7;-;-;-;-;-;-;-;-;29.9;-;-;-;-
Millenium;S6;EUW;5;40.0%;1.03;1787;-42;39:45:00;15.0;14.6;7.0;7.4;60.0;20.0;1.80;45.3;0.60;75.0;0.40;-0.6;-568;-;0.40;30.0;30.1;2401;3.4;0.51;1.26
Misfits;S6;EUW;9;55.6%;1.29;1825;104;37:51:00;12.0;9.2;6.1;5.8;55.6;44.4;1.67;42.6;0.44;66.7;0.22;-0.4;125;-;0.89;61.1;31.8;1997;3.7;0.79;1.55
MVP;S6;KR;45;46.7%;0.88;1753;-50;36:33:00;10.8;12.3;5.9;6.6;48.9;35.6;2.04;48.6;0.27;36.5;0.64;-0.3;-763;-;0.91;50.4;29.5;2053;3.5;0.70;1.36
NewBee;S6;CN;39;33.3%;0.80;1735;-152;39:47:00;13.6;17.1;5.3;7.9;-;-;1.74;42.6;-;-;-;-;-;-;-;-;29.0;-;-;-;-
NRG eSports;S6;NA;69;31.9%;0.74;1658;-187;35:45:00;10.0;13.4;5.0;8.1;43.5;31.9;1.22;32.7;0.32;35.8;0.41;-0.4;-948;-;0.61;39.4;27.7;1905;3.0;0.61;1.22
OMG;S6;CN;78;39.7%;0.94;1775;-52;38:23:00;14.2;15.1;6.1;6.7;-;-;1.90;46.6;-;-;-;-;-;-;-;-;29.3;-;-;-;-
Origen;S6;EUW;75;45.3%;0.88;1768;-40;39:14:00;11.3;12.8;6.5;7.2;56.0;44.0;1.97;47.5;0.76;66.9;0.55;-0.1;-236;-;0.95;48.4;30.3;2029;3.4;0.70;1.44
Phoenix1;S6;NA;49;36.7%;0.79;1709;-122;35:40:00;10.1;12.8;5.9;7.7;57.1;34.7;1.61;38.4;0.24;34.3;0.57;-0.3;-820;-;0.65;43.8;28.4;1727;3.5;0.80;1.38
Qiao Gu Reapers;S6;CN;56;57.1%;1.12;1811;57;35:06:00;14.2;12.6;6.1;5.5;19.6;8.9;1.91;53.9;0.11;33.3;0.38;-0.6;-236;-;0.13;41.7;29.9;1842;3.6;0.61;1.64
Rampage;S6;WC;7;42.9%;1.02;1726;-139;37:03:00;13.4;13.1;4.1;7.4;71.4;28.6;1.29;36.9;0.14;20.0;0.14;-0.6;-372;-;0.86;42.9;30.1;1928;3.3;0.62;1.15
Renegades;S6;NA;22;40.9%;0.77;1756;-53;36:53:00;10.1;13.0;6.4;7.4;59.1;63.6;1.68;39.4;1.18;77.0;0.32;0.2;595;-;0.68;46.7;29.9;1795;3.4;0.77;1.47
Roccat;S6;EUW;67;34.3%;0.77;1734;-102;36:30:00;10.9;14.2;5.8;7.5;47.8;56.7;1.79;46.7;0.31;27.1;0.51;0.1;-175;-;0.60;40.5;29.7;1930;3.5;0.76;1.25
ROX Tigers;S6;KR;106;73.6%;1.43;1898;215;35:13:00;14.9;10.3;7.9;4.3;64.2;50.9;1.93;56.7;0.48;60.5;0.49;0.2;658;-;0.89;73.2;30.4;2223;3.6;0.69;1.39
Royal Never Give Up;S6;CN;124;66.1%;1.28;1866;125;36:45:00;15.7;12.2;7.1;5.2;16.9;8.1;2.21;61.1;0.16;63.3;0.66;-0.6;-478;-;0.13;48.7;30.7;1875;3.8;0.87;1.55
Saigon Jokers;S6;WC;10;0.0%;0.50;1585;-439;35:12:00;11.3;22.5;3.1;9.1;50.0;30.0;0.50;14.0;0.20;25.0;0.10;-0.7;-2280;-;0.40;15.0;27.2;2004;3.6;0.78;1.23
Saint Gaming;S6;CN;39;23.1%;0.57;1681;-256;33:32:00;10.9;18.9;4.2;7.7;-;-;1.31;36.2;-;-;-;-;-;-;-;-;28.4;-;-;-;-
Samsung Galaxy;S6;KR;115;58.3%;1.02;1820;52;38:06:00;11.0;10.8;6.8;5.7;48.7;40.9;2.03;51.8;0.36;45.9;0.50;0.1;152;-;0.74;56.7;31.8;2062;3.8;0.80;1.62
SBENU Sonicboom;S6;KR;49;20.4%;0.56;1646;-238;39:28:00;6.9;12.4;4.2;8.5;40.8;36.7;1.96;43.1;0.59;37.5;0.53;-0.4;-754;-;0.55;35.0;30.3;1681;3.9;0.89;1.78
SK Telecom T1;S6;KR;142;69.0%;1.39;1888;190;37:33:00;13.3;9.6;7.7;4.9;42.3;57.0;2.48;64.4;0.51;60.4;0.67;0.1;387;-;0.84;62.2;32.0;2233;3.6;0.66;1.64
Snake eSports;S6;CN;100;54.0%;1.06;1826;58;37:13:00;12.7;11.9;6.5;5.8;-;-;1.75;49.2;-;-;-;-;-;-;-;-;31.1;-;-;-;-
Splyce;S6;EUW;79;50.6%;0.98;1781;-34;35:07:00;11.7;11.9;6.1;6.7;51.9;34.2;1.44;43.1;0.27;35.8;0.30;-0.2;-537;-;0.61;45.6;30.7;1968;3.4;0.57;1.23
SuperMassive;S6;WC;17;41.2%;0.82;1778;-56;30:51:00;11.4;13.8;5.9;6.3;29.4;47.1;1.82;50.2;0.53;29.2;0.71;-0.2;-1002;-;0.47;50.0;29.4;2089;3.4;0.71;1.36
Taipei Assassins;S6;TW;5;40.0%;0.85;1647;-67;36:10:00;6.6;7.8;4.8;6.8;80.0;20.0;1.80;50.0;0.40;20.8;0.40;-0.2;330;-;0.20;50.0;30.3;1619;3.9;0.89;1.72
TDK;S6;NA;9;33.3%;0.80;1638;-231;34:32:00;9.7;12.0;4.9;8.1;55.6;33.3;1.89;42.8;0.56;29.6;0.67;-0.6;-1361;-;0.22;22.2;27.7;1918;3.3;0.66;1.44
Team Impulse;S6;NA;23;34.8%;0.81;1704;-171;32:53:00;10.6;13.0;4.9;7.7;52.2;30.4;1.83;45.8;0.87;55.0;0.61;-1.0;-1684;-;0.43;35.7;28.1;1807;3.3;0.69;1.41
Team Liquid;S6;NA;79;48.1%;1.03;1755;-13;34:09:00;12.5;12.1;6.1;6.3;54.4;53.2;1.90;53.0;0.48;49.7;0.47;0.1;165;-;0.53;47.4;28.8;1983;3.2;0.59;1.17
Team SoloMid;S6;NA;95;69.5%;1.35;1870;165;34:18:00;14.7;10.8;8.0;4.9;51.6;55.8;2.29;66.3;0.41;53.0;0.75;0.3;1005;-;0.71;61.2;30.0;2145;3.4;0.61;1.30
Team WE;S6;CN;116;56.9%;1.10;1801;26;37:48:00;13.3;12.1;6.6;5.7;-;-;1.96;52.3;-;-;-;-;-;-;-;-;30.1;-;-;-;-
Unicorns Of Love;S6;EUW;90;52.2%;1.01;1809;37;35:09:00;13.0;12.9;6.7;6.0;53.3;48.9;1.78;55.0;0.42;54.5;0.43;-0.1;-100;-;0.78;53.4;30.2;2101;3.3;0.71;1.38
Vici Gaming;S6;CN;98;51.0%;1.05;1813;27;36:13:00;13.4;12.7;6.0;6.2;-;-;1.81;49.4;-;-;-;-;-;-;-;-;30.5;-;-;-;-
Vitality;S6;EUW;59;50.8%;1.07;1778;25;37:00:00;10.8;10.1;6.6;6.3;55.9;54.2;2.05;53.0;0.64;58.0;0.59;0.0;403;-;0.71;45.4;30.3;1850;3.7;0.89;1.37
